"sku","name","url","price","in_stock","image_url","categories"
"30229","Beyond Perfecting Foundation and Concealer","https://www.sephora.com.au/products/clinique-beyond-perfecting-foundation-and-concealer-30ml/v/breeze","55.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_20714801014-Clinique-Beyond-Perfecting-Foundation-and-Concealer-30ml-Breeze_15f69f3b6bd349dd486473fe9a3794d1d90534bf_1559206979.png","makeup|face|foundation|clinique"
"30219","Beyond Perfecting Foundation and Concealer","https://www.sephora.com.au/products/clinique-beyond-perfecting-foundation-and-concealer-30ml/v/fair","55.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_20714711887-Clinique-Beyond-Perfecting-Foundation-and-Concealer-30ml_77a27fdea305ccd82b7a57e06dab9d9a4b5f0244_1559144382.png","makeup|face|foundation|clinique"
"30230","Beyond Perfecting Foundation and Concealer","https://www.sephora.com.au/products/clinique-beyond-perfecting-foundation-and-concealer-30ml/v/honey-wheat","55.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_20714711931-Clinique-Beyond-Perfecting-Foundation-and-Concealer-30ml-Honey-Wheat_38a7611aeeb9e3d99d639107537bcf0d64273cf5_1559206964.png","makeup|face|foundation|clinique"
"30237","Beyond Perfecting Foundation and Concealer","https://www.sephora.com.au/products/clinique-beyond-perfecting-foundation-and-concealer-30ml/v/buttermilk","55.0","true","https://static-reg.lximg.com/images/product_images/default_30237_Clinique_WEB_ff7a54b860794a4409ee8b168f5ce97f049ef8be_1523777784.png","makeup|face|foundation|clinique"
"30234","Beyond Perfecting Foundation and Concealer","https://www.sephora.com.au/products/clinique-beyond-perfecting-foundation-and-concealer-30ml/v/cork","55.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_20714898397-Clinique-Beyond-Perfecting-Foundation-and-Concealer-30ml-Cork_1bef00a4db5eb9d7bb67c4d8b8342b852c0330b8_1559206986.png","makeup|face|foundation|clinique"
"30226","Beyond Perfecting Foundation and Concealer","https://www.sephora.com.au/products/clinique-beyond-perfecting-foundation-and-concealer-30ml/v/sand","55.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_20714712013-Clinique-Beyond-Perfecting-Foundation-and-Concealer-30ml-Sand_476ba2bdcb705d3e31d05ee648d5b7eca409a133_1559206973.png","makeup|face|foundation|clinique"
"30231","Beyond Perfecting Foundation and Concealer","https://www.sephora.com.au/products/clinique-beyond-perfecting-foundation-and-concealer-30ml/v/toasted-wheat","55.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_20714711993-Clinique-Beyond-Perfecting-Foundation-and-Concealer-30ml-Toasted-Whe_2bafa7add3c2e47e74099c320ac432fdee401089_1559206971.png","makeup|face|foundation|clinique"
"30228","Beyond Perfecting Foundation and Concealer","https://www.sephora.com.au/products/clinique-beyond-perfecting-foundation-and-concealer-30ml/v/linen","55.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_20714711849-Clinique-Beyond-Perfecting-Foundation-and-Concealer-30ml-_f14db628f152c9f5a659ebed1d86f0e7569cf0eb_1559144379.png","makeup|face|foundation|clinique"
"30218","Beyond Perfecting Foundation and Concealer","https://www.sephora.com.au/products/clinique-beyond-perfecting-foundation-and-concealer-30ml/v/creamwhip","55.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_20714711870-Clinique-Beyond-Perfecting-Foundation-and-Concealer-30ml-_2035e9d1025fb74a9901cac531270340992ea87b_1559144380.png","makeup|face|foundation|clinique"
"30222","Beyond Perfecting Foundation and Concealer","https://www.sephora.com.au/products/clinique-beyond-perfecting-foundation-and-concealer-30ml/v/neutral","55.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_20714711924-Clinique-Beyond-Perfecting-Foundation-and-Concealer-30ml-_2d16487062e9fe9eb4afa140e24b902ae075d1a3_1559206962.png","makeup|face|foundation|clinique"
